accuracy,id,lat,lng,speed,time,type,state,stepCount,dbscan output,beaconData
17.3,0,37.461559,126.631932,13.66,4789715215618506752,NORMAL,AUTOMOBILE,1,1.0,
22.6,0,37.460371,126.631238,11.62,4789715215667658752,NORMAL,AUTOMOBILE,1,1.0,
24.3,0,37.459361,126.630767,8.87,4789715215720906752,NORMAL,AUTOMOBILE,1,1.0,
24.3,0,37.458443,126.630261,8.99,4789715215770058752,NORMAL,AUTOMOBILE,1,1.0,
24.1,0,37.457433,126.629668,13.98,4789715215811018752,NORMAL,AUTOMOBILE,1,1.0,
24.1,0,37.457299,126.629581,15.45,4789715215815114752,NORMAL,AUTOMOBILE,1,1.0,
24.2,0,37.456273,126.628916,13.93,4789715215851978752,NORMAL,AUTOMOBILE,1,1.0,
24.2,0,37.456169,126.628869,13.13,4789715215856074752,NORMAL,AUTOMOBILE,1,1.0,
24.2,0,37.455286,126.628271,9.29,4789715215901130752,NORMAL,AUTOMOBILE,1,1.0,
56.3,0,37.453902,126.627334,0.0,4789715216347594752,STOP,AUTOMOBILE,1,1.0,
21.6,0,37.450802,126.625195,13.92,4789715216499146752,NORMAL,AUTOMOBILE,1,1.0,
21.7,0,37.450704,126.6251,12.42,4789715216503242752,NORMAL,AUTOMOBILE,1,1.0,
23.2,0,37.449755,126.624575,11.61,4789715216544202752,NORMAL,AUTOMOBILE,1,1.0,
23.2,0,37.449667,126.624544,10.65,4789715216548298752,NORMAL,AUTOMOBILE,1,1.0,
8.2,0,37.449076,126.625347,10.69,4789715216593354752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.448645,126.626367,10.61,4789715216630218752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.448604,126.626467,10.44,4789715216634314752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.448171,126.627555,15.01,4789715216667082752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.448053,126.627868,15.39,4789715216675274752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.447627,126.628869,17.49,4789715216699850752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.447328,126.62959,18.04,4789715216716234752,NORMAL,AUTOMOBILE,4,1.0,
